,Domain,area,keywords,Abstract
73,CS , network security  , bitcoin; mining; cost of transaction        ,"2008 is the year of creation of the Bitcoin network consisting of a decentralized database, which is storing all transactions of bitcoin tokens, whose quantity is predetermined by a protocol and independent of any authority. The aim of this article is to describe the limits in the use of Bitcoin as medium of exchange. Bitcoin network operation is carried out at high costs of electrical energy consumption, which, will over time be reflected in the price of transactions. Low transaction prices, which is one of the main arguments of Bitcoin promoters, are only possible with continuous issuance of new bitcoins to circulation. Bitcoin's - ""prove of work"" - is the most energetically demanding method from all currently existing methods securing cryptoplatforms. Halving mechanism which reduces the rewards of miners create pressure to decrease hash rate, which is a reflection of the rate of network security. The pressure to decrease hash rate is for now overrun by the increasing efficiency of mining devices. The future will therefore probably bring us fundamental questions: What will it mean for Bitcoin network, if the real costs of running the network will be reflected in costs of transaction? How will Bitcoin network be able to compete with other cryptocurrencies, whose operation is carried out at a much lower cost? Will halving mechanism ultimately cause a declined hash rate, and thereby also a reduction in network security?"
98,CS , network security  , 5G; network security; digital signature; proxy signature; chameleon hash        ,"5G mobile networks are promising to offer mobile users unrivaled experiences with infinite networking capability at any period and from anywhere. However, it appears unnecessary and impractical for the customers and servers to be connected permanently in wireless networks because battery life is a bottleneck in such kind of networks. Therefore, the authorized entity needs to delegate its right to others in order to ensure the services available. This paper aims to address the issue of delegating authentication in 5G networks by proposing a new proxy signature scheme with efficient proxy signing operations. Concretely, we present a new and efficient proxy signature algorithm whose unforgeability can be reduced to the well-known discrete logarithm assumption. In the proposal, the original signer delegates his signing right by signing an exposure-free chameleon hash value on the warrant, and the proxy signer can generate a proxy signature on a message only by calculating a chameleon hash collision between the warrant and the message. This approach is computationally cost-effective for the proxy signer. Further analysis of the new scheme demonstrates that it offers the desirable properties of delegation of signing sights. Copyright (c) 2015 John Wiley & Sons, Ltd."
331,CS , network security  , darknet monitoring system; Internet threat monitoring; localization attack; packet sampling; network security        ,"A darknet monitoring system is developed to grasp malicious activities on the Internet in an early stage and to cope with them. The darknet monitoring system consists of network sensors deployed widely on the Internet. The sensors capture incoming unsolicited packets. A goal of this system analyzes captured malicious packets and provides effective information for protecting good Internet users from malicious activities. To provide effective and reliable information, sensors must be deployed in secret and hidden from outside. On the other hand, attackers intend to detect sensors for evading them. This attempt is known as localization attacks to darknet monitoring systems. If actual location of sensors is revealed to attackers, it is almost impossible to grasp the latest tactics used by attackers. Thus in our previous work, we proposed a packet sampling method, which samples incoming packets based on an attribute of packets sender, to increase a tolerance to a localization attack and to keep a high quality of information publicized by the system. As a result, we almost succeeded to counter from a localization attack, which generates spike on the publicized graph to detect a sensor. However in some cases, proposed sampling method works to attacker's advantage and spikes appear clearly on the graph. Therefore, we propose advanced sampling methods, which sample incoming packets based on multiple attributes of packets sender. In this paper, we present our improved methods and show a promising evaluation result obtained from the simulation."
372,CS , network security  , Network security; DDoS attacks; Flash events; Entropy; Information distance        ,"A Distributed Denial of Service (DDoS) attack is an austere menace to extensively used Internet-based services. The in-time detection of DDoS attacks poses a tough challenge to network security. Revealing a low-rate DDoS (LR-DDoS) attack is comparatively more difficult in modern high speed networks, since it can easily conceal itself due to its similarity with legitimate traffic, and so eluding current anomaly based detection methods. This paper investigates the aptness and impetus of the information theory-based generalized entropy (GE) and generalized information distance (GID) metrics in detecting different types of DDoS attacks. The results of GE and GID metrics are compared with Shannon entropy and other popular information divergence measures. In addition, the feasibility of using these metrics in discriminating a high-rate DDoS (HR-DDoS) attack from a similar looking legitimate flash event (FE) is also verified. We used real and synthetically generated datasets to elucidate the efficiency and effectiveness of the proposed detection scheme in detecting different types of DDoS attacks and FEs. The results clearly show that the GE and GID metrics perform well in comparison with other metrics and have reduced false positive rate (FPR). (C) 2017 Elsevier B.V. All rights reserved."
586,CS , network security  , Smart Grid; Network Assessment; Planning; Security; Network Performance        ,"A key aspect of realizing the future smart grid communication solution is a balanced approach between the network performance and the network security during the network deployment. A high security communication flow path is not useful when the network path cannot support capacity and reachability requirements. The deployment phase in communication network can facilitate an optimal network path by focusing on both the network performance and the network security at the same time. In this paper, we describe a use case of smart grid application where security, network capacity and reachability needs to be optimal for successful network operation. We explain our proposed balancing approach of the network performance and the network security which can be useful for the optimal smart grid secure system design."
529,CS , Cryptography  , Handover authentication; Elliptic curve cryptography; Impersonation attack; Random oracle model; ProVerif        ,"A handover authentication protocol ensures secure and seamless roaming over multiple access points. A number of such protocols are proposed, but most of these protocols are inefficient or insecure. Very recently, Li et al. (Wireless Pers Commun 80(2):581-589, 2015) proposed a privacy-aware handover authentication protocol, and claimed their protocol to be more lightweight and secure than existing protocols. However, our analysis identifies that Li et al.'s protocol is insecure against access point impersonation attack. As a remedy, we proposed an improved protocol to fix the security weakness of Li et al.'s protocol. The improved protocol achieves the provable security in the random oracle model against the hardness assumptions of the elliptic curve discrete logarithm problem and elliptic curve computational Diffie-Hellman problem. The proposed handover authentication protocol is also formally analyzed with the automated tool ProVerif. The improved protocol not only enhances the security but is more lightweight than other related protocols."
680,CS , Cryptography  , RFID; Yoking proof; Security; Privacy        ,"A majority of RFID authentication scenarios involve a single tag that is identified independent of other tags in the field of the reader. However, there are situations that necessitate simultaneous authentication of multiple tags as well as the verification of their simultaneous physical proximity to the reader. Duels (2004) introduced yoking proof for simultaneous authentication of multiple RFID tags. Several researchers have since then developed variants of yoking proof using both symmetric and asymmetric cryptography. Given that the ambient conditions are bound to be very similar for all objects that are in close physical proximity to one another, we critically evaluate the use of various relevant ambient conditions for this purpose. Based on our evaluation, we choose to use tag temperature and develop a variant of yoking proof protocol for simultaneous authentication of multiple tags.(C) 2017 Elsevier B.V. All rights reserved."
698,CS , Cryptography  , meminductor; Wien bridge; chaos; coexisting attractor        ,"A meminductor is a new type of memory device. It is of importance to study meminductor model and its application in nonlinear circuit prospectively. For this purpose, we present a novel mathematical model of meminductor, which considers the effects of internal state variable and therefore will be more consistent with future actual meminductor device. By using several operational amplifiers, multipliers, capacitors and resistors, the equivalent circuit of the model is designed for exploring its characteristics. This equivalent circuit can be employed to design meminductor-based application circuits as a meminductor emulator. By employing simulation experiment, we investigate the characteristics of this meminductor driven by sinusoidal excitation. The characteristic curves of current-flux (i-phi), voltage-flux (v-phi), v-rho (internal variable of meminductor) and phi-rho for the meminductor model are given by theoretical analyses and simulations. The curve of current-flux (i-phi) is a pinched hysteretic loop passing through the origin. The area bounding each sub-loop deforms as the frequency varies, and with the increase of frequency, the shape of the pinched hysteretic loop tends to be a straight line, indicating a dependence on frequency for the meminductor. Based on the meminductor model, a meminductive Wien-bridge chaotic oscillator is designed and analyzed. Some dynamical properties, including equilibrium points and the stability, bifurcation and Lyapunov exponent of the oscillator, are investigated in detail by theoretical analyses and simulations. By utilizing Lyapunov spectrum, bifurcation diagram and dynamical map, it is found that the system has periodic, quasi-periodic and chaotic states. Furthermore, there exist some complicated nonlinear phenomena for the system, such as constant Lyapunov exponent spectrum and nonlinear amplitude modulation of chaotic signals. Moreover, we also find the nonlinear phenomena of coexisting bifurcation and coexisting attractors, including coexistence of two different chaotic attractors and coexistence of two different periodic attractors. The phenomenon shows that the state of this oscilator is highly sensitive to its initial valuse, not only for chaotic state but also for periodic state, which is called coexistent oscillation in this paper. The basic mechanism and potential applications of the existing attractors are illustrated, which can be used to generate robust pseudo random sequence, or multiplexed pseudo random sequence. Finally, by using the equivalent circuit of the proposed meminducive model, we realize an analog electronic circuit of the meminductive Wien-bridge chaotic system. The results of circuit experiment are displayed by the oscilloscope, which can verify the chaotic characteristics of the oscillator. The oscillator, as a pseudo random signal source, can be used to generate chaotic signals for the applications in chaotic cryptography and secret communications."
832,CS , Cryptography  , 3-D matrix; Shuffling engine; Logistic map; Chaos; Cryptography        ,"A new data encryption scheme is proposed based on the position substitution, shuffling and a diffusion process. The algorithm searches for the position of a text symbol in randomly generated 3-D matrix and subsequently replaces the symbol. The positions in matrix are shuffled in a retraceable manner depending upon the encryption key. Further, the substituted positions are diffused so that all the cipher text get affected even if a single symbol is changed. The system uses a Logistic map for matrix generation and position shuffling. The algorithm also checks the integrity of cipher text by including its parity in encrypted form. As the system includes substitution, permutation and diffusion, high level of cryptographic complexity is achieved in cipher text. The proposed method is key sensitive output cipher text is random in nature and has avalanche effect. The key length chosen is sufficient to resist a brute force attack. The cryptographic model as a whole demonstrate remarkable resistance to statistical attacks which is a key feature. Detailed runtime comparison with different known cryptographic systems is given. (C) 2016 Elsevier Ltd. All rights reserved."
877,CS , Cryptography  , Chaos; S-box; Cryptography        ,"A new method for obtaining random bijective S-boxes based on discrete chaotic map is presented. The proposed method uses a discrete chaotic map based on the composition of permutations. The obtained S-boxes have been tested on the number of criteria, such as bijection, nonlinearity, strict avalanche criterion, output bits independence criterion, equiprobable input/output XOR distribution and maximum expected linear probability. The results of performance test show that the S-box presented in this paper has good cryptographic properties. The advantage of the proposed method is the possibility to achieve large key space, which makes it suitable for generation of S-boxes for larger values of n. Also, because this method uses discrete chaotic map based on the composition of permutations which has finite space domain, there is no need for discretization of continuous values of chaotic map, so the process of generation of S-boxes is not affected by approximations of any kind."
30,CS , Operating systems  , biodiversity surveys; camera trapping; data management; detection history; monitoring; occupancy models; photo trapping; spatial capture-recapture models; wildlife studies        ,"1. Camera trapping is a widely applied method to study mammalian biodiversity and is still gaining popularity. It can quickly generate large amounts of data which need to be managed in an efficient and transparent way that links data acquisition with analytical tools. 2. We describe the free and open-source R package camtrapR, a new toolbox for flexible and efficient management of data generated in camera trap-based wildlife studies. The package implements a complete workflow for processing camera trapping data. It assists in image organization, species and individual identification, data extraction from images, tabulation and visualization of results and export of data for subsequent analyses. There is no limitation to the number of images stored in this data management system; the system is portable and compatible across operating systems. 3. The functions provide extensive automation to minimize data entry mistakes and, apart from species and individual identification, require minimal manual user input. Species and individual identification are performed outside the R environment, either via tags assigned in dedicated image management software or by moving images into species directories. 4. Input for occupancy and (spatial) capture-recapture analyses for density and abundance estimation, for example in the R packages unmarked or secr, is computed in a flexible and reproducible manner. In addition, survey summary reports can be generated, spatial distributions of records can be plotted and exported to GIS software, and single-and two-species activity patterns can be visualized. 5. camtrapR allows for streamlined and flexible camera trap data management and should be most useful to researchers and practitioners who regularly handle large amounts of camera trapping data."
342,CS , Operating systems  , nondestructive testing; acoustic emission; piezoelectric transducer; acoustic sensor; reliability; resource        ,"A design of an advanced-reliability piezoelectric transducer of acoustic emission (AE) is suggested. The advanced reliability is achieved by eliminating the main reasons that lead to failures; duplicating/backing the main operating systems; and imparting redundant or extended technical capabilities to the transducer design that make it possible to compensate for partial or complete performance loss of the antenna group. It is shown that given such a design approach, it is feasible to achieve technical characteristics that are stipulated for industrial acoustic-emission transducers. Theoretical estimates of transducer reliability are presented that show that a combination of backing of AE registration channels with different versions of their connection gives ample opportunities for governing the reliability of sensors during their usage/service life."
541,CS , Operating systems  , Vaccine management; Experiential learning; Authentic learning; E-learning        ,"A high level of concern is placed on the storage, handling, transportation, and distribution of vaccines and other pharmaceutical products, particularly those that are time and temperature sensitive. While active and passive cooling equipment and monitoring devices are important, it is the various personnel responsible for executing and writing procedures, designing and operating systems, and investigating problems and helping prevent them who are paramount in establishing and maintaining a ""cold.chain"" for time and temperature sensitive pharmaceutical products (TTSPPs). These professionals must possess the required competencies, knowledge, skills and abilities so they can effectively perform these activities with appropriate levels of expertise. These are complex tasks that require the development of higher cognitive skills that cannot be adequately addressed through professional development opportunities based on simple information delivery and content acquisition. This paper describes two unique learning solutions (one on a bus called the ""wheels course"" and the other online called ""e-learning"") that have been developed by WHO Global Learning Opportunities (WHO/GLO) to provide participants with opportunities not just to learn about cold chain systems or vaccine management, but, rather, to develop high levels of expertise in their respective fields through experiential and authentic learning activities. In these interactive learning environments, participants have opportunities to address real-life situations in contexts similar to what they may face in their own work environments and develop solutions and critical thinking skills they can apply when they return to their jobs. This paper further delineates the managerial and operational vaccine management functions encompassed in these two unique learning environments. The paper also describes the alignment of the objectives addressed in the ""wheels course"" and the e-learning version with effective vaccine management (EVM) criteria as prescribed by WHO. The paper concludes with an example of a real world product developed by course graduates (specifically a decision tree that is now used by some national programmes). These types of products, valuable in their own right, often emerge when learning environments based on authentic learning principles are designed and implemented as they were by WHO/GLO. (C) 2017 The Authors. Published by Elsevier Ltd."
799,CS , Operating systems  , networking laboratory; virtualization; Virtual Networks over linuX; VNX        ,"A networking laboratory is an essential tool for teaching communications engineering. However, the effort and cost invested in creating a networking laboratory with physical equipment are significantly high, especially if the students are to work on realistic scenarios. By substituting physical networking devices by virtualized ones, virtualization technologies may contribute to simplify the laboratory management tasks and allow the creation of affordable and more complex network scenarios. In this way, students can work and experiment on realistic network scenarios, so that their learning experience is greatly improved. In this paper a detailed description of a virtualization-based networking laboratory model, evolved over the last 10 years of authors experience in teaching computer networking, is provided. This laboratory model is implemented using Virtual Networks over linuX (VNX), an open source tool specifically designed and developed to define, build, deploy and manage networking scenarios taking full advantage of virtualization, and supporting hybrid virtual/physical scenarios and heterogeneous operating systems. The features of the VNX tool, illustrated with an example of a complex network scenario used by more than 300 students, are described. A survey-based assessment of the usage experience of VNX is included in the paper, showing the validity and efficacy of the proposed laboratory model and of the VNX tool for teaching computer networking in laboratory assignments."
941,CS , Operating systems  , SuperKEKB; Belle II; software; simulation; framework        ,"A next generation B factory and the detector counterpart, SuperKEKB and Belle II, are being built in Japan, as the upgrades of KEKB and Belle, respectively. The new collider will start its commissioning in 2015. This is an ambitious project. The luminosity of the e(+) e(-) collider will be upgraded by a factor of 40, which will create a 50 times larger data set compared to the Belle sample. Both the background and the triggered event rates will be increased by a factor of at least 10. The Belle II software system is designed to accommodate these challenges and to run on grid, cloud, and local resources around the world. Various external software packages are employed to enhance the user interface. The software system, basf2, is structured as a framework built with dynamic module loading and the ability of parallel processing. The system is written in C++ with Python steering scripts, compatible with common Linux operating systems. A full detector simulation library is created based on Geant4. In this paper, we will explain the design of the Belle II software structure and the current status of the software development."
21,CS , Computer graphics  , 3D images; Virtual reality; Smoothness        ,"[Purpose] This study verified that the smoothness of reaching movements is able to quantitatively evaluate the effects of two-and three-dimensional images on movement in healthy people. In addition, clinical data of cerebrovascular accident patients were also analyzed by the same method. [Subjects] Ten healthy adult volunteers and two male patients with previous cerebrovascular accidents participated. [Methods] The subjects were tasked with reaching for objects shown on a display. The target and virtual limb, rendered with computer graphics, were shown on the display. Movements of the virtual limb were synchronized with those of the subject. Healthy subjects reached for targets with their dominant arm, and cerebrovascular accident patients used their paretic arm. A polarized display and polarized glasses were used when the subjects were shown three-dimensional images. In the present study, jerk cost was used to quantify the smoothness of movement. [Results] Six of the 10 healthy subjects had significantly smoother reaching movements when viewing the three-dimensional images. The two cerebrovascular accident patients tended to have smoother movements in response to the three-dimensional images. [Conclusion] Analysis of the smoothness of movement was able to detect the influence of the depth cue in vision on movement quantitatively for the healthy subjects and cerebrovascular accident patients."
79,CS , Computer graphics  , 3D scan; Innovative design; Product; Rapid prototyping; Three-dimensional digital visualization        ,"3D digital visualization technology is a new research field along with the rapid development of computer technology. It is a multi-scale technology which consists of computer graphics, image information processing, computer aided design. This paper is about the research and development of products innovation design method, thereby realize the innovation of product design rapidly. At the same time to verify the feasibility and practicality and broad application prospect of applying 3D scan technology to the rapid development, design and manufacture of products."
82,CS , Computer graphics  , 3D mesh segmentation; Unsupervised clustering; K-means; FCM        ,"3D mesh segmentation is considered an important process in the field of computer graphics. It is a fundamental process in different applications such as shape reconstruction in reverse engineering, 3D models retrieval, and CAD/CAM applications, etc. It consists of subdividing a polygonal surface into patches of uniform properties either from a geometrical point of view or from a perceptual/semantic point of view. In this paper, unsupervised clustering techniques for the 3D mesh segmentation problem are introduced. The K-means and the Fuzzy C-means (FCM) clustering techniques are selected for the development of the proposed clustering-based 3D mesh segmentation techniques. Since the mesh faces are considered the main element, the clustering technique is applied to the dual mesh. The 3D Euclidean distance is used as the distance measure to compute matching between mesh elements. Based on empirical results on a benchmark dataset of 3D mesh models, the FCM-based mesh segmentation technique outperforms the K-means-based one in terms of accuracy and consistency with human segmentations."
83,CS , Computer graphics  , Computer graphics; image quality assessment; 3d mesh visual quality assessment; perceptual metrics        ,"3D meshes are deployed in a wide range of application processes (e.g., transmission, compression, simplification, watermarking and so on) which inevitably introduce geometric distortions that may alter the visual quality of the rendered data. Hence, efficient model-based perceptual metrics, operating on the geometry of the meshes being compared, have been recently introduced to control and predict these visual artifacts. However, since the 3D models are ultimately visualized on 2D screens, it seems legitimate to use images of the models (i.e., snapshots from different viewpoints) to evaluate their visual fidelity. In this work we investigate the use of image metrics to assess the visual quality of 3D models. For this goal, we conduct a wide-ranging study involving several 2D metrics, rendering algorithms, lighting conditions and pooling algorithms, as well as several mean opinion score databases. The collected data allow (1) to determine the best set of parameters to use for this image-based quality assessment approach and (2) to compare this approach to the best performing model-based metrics and determine for which use-case they are respectively adapted. We conclude by exploring several applications that illustrate the benefits of image-based quality assessment."
